time_id,AIC,BIC,converged,quality_ok,gamma,delta,beta
5,-1.8659132157680176,3.798488393049663,True,False,,,
11,0.576063763963452,6.240465372781133,True,True,-1.8808391962569406,2.572114719973974,0.25161796653497903
16,-20.19853094690805,-14.53412933809037,True,True,-0.37299798591555666,-0.1456638688061723,0.061015410700785616
31,-2.116683080624309,3.5477185281933714,True,True,3.208446587317851,1.325226958380261,0.11358055147079815
62,198.95316562694515,204.61756723576283,True,False,,,
72,18.855503539487493,24.519905148305174,True,False,,,
97,407358589.8399214,407358595.504323,True,False,,,
103,196.64782019238083,202.31222180119852,True,False,,,
109,,,False,False,,,
123,-13.095478170878938,-7.431076562061257,True,True,-0.17821492163134983,-4.221727742227921,0.7614563074773697
128,195.84019450596273,201.5045961147804,True,False,,,
146,220.0782266994077,225.7426283082254,True,False,,,
147,-19.23517993949161,-13.570778330673928,True,True,1.9890072382509645,-2.4996696854308977,2.57450116442072e-15
152,-12.998318087854756,-7.333916479037075,True,True,1.2670125031232502,-0.1642884796730882,0.001063900541221158
157,13.518297928558571,19.18269953737625,True,False,,,
159,-22.42789993914242,-16.76349833032474,True,True,-0.4050036285163059,-1.9222728515050316,0.30207310136189486
169,-0.44752791506430256,5.216873693753378,True,True,0.7493503062510091,3.7774386011725736,0.4026951815100022
207,16.863951734948156,22.528353343765836,True,True,-0.5791380110136221,-1.3999563808695386,0.1557379198484825
211,,,False,False,,,
213,-0.3486492249140092,5.315752383903671,True,False,,,
218,-18.554769699378006,-12.890368090560326,True,True,-0.04149552041017909,1.8761648593272502,6.635001483725992e-06
227,-16.713529862292468,-11.049128253474787,True,False,,,
229,-4.978630748770335,0.6857708600473451,True,True,-0.7608400015804486,-0.35524923590601565,0.011575883241606239
232,-7.398326492691876,-1.7339248838741952,True,True,-0.004894225553721063,-1.1674219632564908,0.015293996067539376
250,16.476707185216306,22.141108794033986,True,False,,,
254,13.602459521025157,19.266861129842837,True,True,2.7278911651397584,0.6721394838293823,6.941304438476227e-17
256,-12.976328845794647,-7.311927236976967,True,True,-0.4955886129494473,2.57396918790256,0.0023599445250425443
266,8.880341325535902,14.544742934353582,True,False,,,
273,6.313025283422229,11.97742689223991,True,True,-0.5425623997239363,-0.15130170344104396,0.259639201015231
289,-9.159758392960722,-3.4953567841430413,True,True,-1.1985423696078998,-0.8806168212370864,0.6052780290940281
297,187.68736446249935,193.35176607131703,True,False,,,
303,21.743443344830844,27.40784495364852,True,False,,,
309,184.59446965775055,190.25887126656824,True,False,,,
310,,,False,False,,,
317,-19.352934033232998,-13.688532424415317,True,False,,,
319,,,False,False,,,
325,-2.4288363434808495,3.235565265336831,True,False,,,
326,28.671009293169504,34.33541090198719,True,True,-0.08603574507991583,0.5897520447166431,0.5388749660412552
335,0.1280622555458475,5.792463864363528,True,True,-1.6255835008717363,-0.039225852953382725,5.126759883837957e-05
337,182.09588595952687,187.76028756834455,True,False,,,
358,170.44636761677097,176.11076922558865,True,False,,,
371,2.215333111568029,7.879734720385709,True,False,,,
373,203.8439830150175,209.50838462383518,True,False,,,
380,-7.149118629013373,-1.484717020195692,True,True,2.239959320013907,0.21013856106352416,0.07646860311336522
381,-21.963492923183125,-16.299091314365445,True,True,0.42097763457596876,-4.214749376433871,0.1384240859749673
411,-6.973892192547858,-1.3094905837301773,True,True,-0.43854740195015296,-1.3591414985715469,0.28265788985217316
420,12.396397694787417,18.060799303605098,True,True,0.2850830678466665,2.245607441241942,0.008835422964590053
424,2.747121094192412,8.411522703010093,True,True,-0.5070762423732399,4.228247322180701,7.688757606309501e-06
427,,,False,False,,,
436,8.107491229456539,13.77189283827422,True,True,-0.06439757800752274,-2.152880218340672,0.2411973451022584
438,16.97011691251463,22.63451852133231,True,True,-1.0017865741000338,-3.9231924552731083,1.4083842586904913e-18
454,-36.11138177867954,-30.446980169861856,True,True,3.865637072171077,4.148786103134192,0.027597254490661288
465,-31.739118180670538,-26.074716571852857,True,True,-0.941633319857004,0.6845541128245087,0.011976123801423334
468,,,False,False,,,
487,7.160724859566816,12.825126468384497,True,True,-1.026394305190836,1.403577198599444,0.04613763537110067
493,9.782847249701,15.44724885851868,True,True,-0.016890778225822953,2.200960056641241,0.10607716596419478
