regime,n_sessions,mean_QLIKE,median_QLIKE,mean_MSE,mean_vol,mean_spread
low-vol liquid,46179,-14.911523222681481,-14.868627751582238,8.169957628096802e-09,0.0003676177982279157,0.00017825528517576903
low-vol illiquid,11261,-13.929772110201007,-14.117276058534028,5.146221275026346e-08,0.0004900149384542505,0.0007849552561644058
high-vol liquid,13520,-13.053688781650747,-13.166509388916273,3.1282093899275704e-08,0.0009883009345059328,0.0002598169000655398
stressed,3729,-12.768209490538846,-12.909699768000271,3.2260257111022546e-07,0.0012183040366635254,0.0012266968792600027
high-vol illiquid,44379,-12.246695492880203,-12.38912393857396,2.6973775482934085e-07,0.0015531253780835324,0.0014455217970943152
