stock_id,regime,median_QLIKE,mean_QLIKE,median_MSE,mean_spread,n_sessions
76,mixed,-6.155793484067054,-6.130203020265551,1.0826068187134614e-08,0.0005280372203106313,766
116,illiquid,-6.108078743421748,-6.095082182056452,2.5841235866905655e-08,0.0010702739311881503,745
96,mixed,-6.098875516120174,-6.052349343224767,1.4262277318729046e-08,0.0005523970333417048,766
103,illiquid,-6.09408526776018,-6.0315085297062385,3.531260102081944e-08,0.001191489043006867,705
90,illiquid,-6.055288824027277,-6.00754515936179,3.68605201729988e-08,0.0011692894775573828,748
56,mixed,-6.03325363912589,-6.013789959470883,9.497596020423239e-09,0.00045847123970539194,766
112,illiquid,-6.014775370365369,-5.974505495683695,4.87234007037663e-08,0.0014304957538685491,704
5,illiquid,-6.006256447462432,-6.008743410132047,3.7128046801509355e-08,0.0011499624455677667,734
126,illiquid,-5.997656513645068,-5.956645174491232,2.8481997683102183e-08,0.001132973555095292,743
33,illiquid,-5.983247991925348,-5.924844989000206,5.02270131376031e-08,0.0015760665334447193,653
9,illiquid,-5.964745099705434,-5.91519908370697,4.105545532213113e-08,0.0012788996676734495,741
40,illiquid,-5.931838871536954,-5.882978988875471,4.979798002555898e-08,0.0011930316199221097,750
62,illiquid,-5.90068059971898,-5.87688105118277,3.006399772655228e-08,0.001022913095444303,763
27,illiquid,-5.809403911866132,-5.748611206040794,7.295599379650048e-08,0.0016359412285406982,714
97,illiquid,-5.784715166051425,-5.724666873584292,6.079820086823937e-08,0.0013428723609580089,750
37,illiquid,-5.7784406552186915,-5.738656297435291,7.31108100097353e-08,0.0016965434615499703,632
3,illiquid,-5.733665407337936,-5.721456642805537,3.76539541514212e-08,0.0010831680784450185,753
75,illiquid,-5.732067331001482,-5.692378760879401,8.34417587455503e-08,0.0015948917120572723,722
6,illiquid,-5.580400598207286,-5.589902717234914,4.25405583020503e-08,0.0009662599407968557,748
18,illiquid,-5.479104748783859,-5.446138728810938,1.5817165816676416e-07,0.0021958967801909866,667
