cluster,n_stocks,n_sessions,mean_QLIKE,median_QLIKE,mean_MSE,mean_vol,std_vol,mean_spread,std_spread
0,20,61277,-14.362493921795311,-14.45906594056764,2.4255572667537227e-08,0.0006473940870199686,0.0005742214485419627,0.00030434616276962427,0.00021750877282032885
1,1,3064,-13.68362005412125,-13.854369444526775,8.527368431243528e-08,0.0008724466484301692,0.0008139381412498901,0.000652079248802505,0.0005412534060516205
2,12,35322,-12.76850189393288,-12.873467604713916,1.725418766430141e-07,0.0011111082451187703,0.0010841916735865346,0.0010409945147784993,0.0008778554628368293
3,7,19405,-12.369535874293934,-12.527906537389017,3.458539401175796e-07,0.001468180677539906,0.0014487177838702222,0.0015679539461042745,0.0011541678816991375
