time_id,intercept,beta_daily,beta_weekly,beta_monthly,r2,model
9846,0.0008515103433116218,-0.13676924375894112,2.798890901233695,-3.6839466982413933,0.2187771325076392,WLS-HAR-RV (λ=0.05)
8747,0.0002258934354313142,-0.4478999351886065,1.7552605273004454,-1.8737790587423464,0.13876317691825335,WLS-HAR-RV (λ=0.05)
22076,0.00031445204122827086,-0.34486062727822253,1.2732496539594227,-1.6115235650440463,0.16693302572542967,WLS-HAR-RV (λ=0.05)
25265,0.0006620353450696522,0.04142164971578468,0.6106017630619262,-2.165353429581389,0.05874812515344141,WLS-HAR-RV (λ=0.05)
6324,0.0006351443814923058,-0.016104529460416166,-0.07600704546259718,-2.388734690658079,0.15328504142635613,WLS-HAR-RV (λ=0.05)
12395,7.392875572070364e-05,-0.5290512833081856,0.2137712902343597,1.0919369306260567,0.18219767049182456,WLS-HAR-RV (λ=0.05)
9381,0.0004077869496552832,0.1575034416537644,0.23935913558863886,-0.9186224966884214,0.06433974358889383,WLS-HAR-RV (λ=0.05)
6434,0.0009210506495081702,-0.27836658335900905,-0.7671620940320081,-1.2519694353316013,0.29915774039279464,WLS-HAR-RV (λ=0.05)
23708,0.0004555216198937329,-0.03711614958827942,-0.9580465722976532,-0.27548394792593245,0.2537178592033382,WLS-HAR-RV (λ=0.05)
27181,-2.677465182791475e-05,0.054770166283304174,-1.536876251943481,2.2823805720275647,0.1680514409949747,WLS-HAR-RV (λ=0.05)
30232,0.0004251042851217806,-0.1719358234796237,-1.4337380171856255,1.3536912634831901,0.09458809720010619,WLS-HAR-RV (λ=0.05)
30896,0.0011062728913965592,0.23325704318478832,1.8732081942396106,-4.911227102935015,0.2921934405187758,WLS-HAR-RV (λ=0.05)
1712,0.0006068023159600466,-0.2279251743306558,0.6084389008437965,-1.721269791529313,0.12993990375499276,WLS-HAR-RV (λ=0.05)
10840,0.00013892152608894803,0.1362311225571579,-3.0406855111893463,2.733908201889691,0.5730544599702705,WLS-HAR-RV (λ=0.05)
17161,0.00017869506375852364,0.46882818459414294,-0.38543108918864466,-0.1489956580079732,0.18535935009975812,WLS-HAR-RV (λ=0.05)
17670,0.00040625251492854063,-0.6527099044533183,2.676894060614308,-2.8745610620643958,0.473152066346747,WLS-HAR-RV (λ=0.05)
18447,0.00042909183736721576,-0.06446589610649744,0.11404389780516772,-0.9211053143100187,0.09849596270856686,WLS-HAR-RV (λ=0.05)
6410,0.0011573341008234209,0.03990570853990222,-0.6616655537349696,-3.325783468751354,0.4185731282600125,WLS-HAR-RV (λ=0.05)
11987,0.0003034149703021745,-0.06028527260847642,-1.184836403743043,1.1528598609693987,0.10711835717800189,WLS-HAR-RV (λ=0.05)
6909,0.00034076376718172413,0.7976060668113746,0.24762792104640874,-0.9686596020407828,0.6815585981642269,WLS-HAR-RV (λ=0.05)
15010,0.0003404012693701803,0.31407166484095955,0.8857636837227154,-1.7886183036551924,0.24497601810089176,WLS-HAR-RV (λ=0.05)
22877,0.0005628806095586417,-0.12113854494513394,2.0905660874740324,-2.5871123121171107,0.18179845572355202,WLS-HAR-RV (λ=0.05)
21716,0.000669200791093124,-0.31267170136955363,0.9969383175002844,-2.589348107591966,0.38217910428830526,WLS-HAR-RV (λ=0.05)
25766,0.00044286604500320677,0.1650926500300035,-0.1011754055914435,-0.5928087448531815,0.0696132816531917,WLS-HAR-RV (λ=0.05)
11111,0.0007729756952753953,0.48167565356912656,0.7181584459526655,-2.642391862534024,0.17179472232170567,WLS-HAR-RV (λ=0.05)
7122,0.0004205184534156022,0.8707468067944993,-5.011618112575697,3.5632606464151984,0.4847315765469046,WLS-HAR-RV (λ=0.05)
4754,0.00015448770723803514,-0.12194544459276557,-2.221494947886166,2.93596108508312,0.187341095968919,WLS-HAR-RV (λ=0.05)
10000,0.0008975666106958993,0.5906944161275545,-0.6392531949432216,-1.831502283943785,0.3055091858295135,WLS-HAR-RV (λ=0.05)
17305,0.0006451680893600172,-0.10698159249037482,1.0320967666630252,-1.8147903492287425,0.12639609925106854,WLS-HAR-RV (λ=0.05)
19830,0.000762830980714468,-0.35760748258980035,-0.1284723144296016,-2.327378775559506,0.3438837596545835,WLS-HAR-RV (λ=0.05)
9914,0.0004903790749601932,0.270319281143154,0.2516013298193877,-1.2124761474559254,0.05893732804197094,WLS-HAR-RV (λ=0.05)
8435,0.0007887772273750472,0.41195508567751343,1.436973060122596,-3.9099773421552007,0.35741884913635524,WLS-HAR-RV (λ=0.05)
14297,0.0012018590842768028,0.6942178763028257,0.19280553737657513,-5.260804632775918,0.6306347403982304,WLS-HAR-RV (λ=0.05)
4489,0.0008881204975087285,-0.09967249906134666,-3.8411016149085597,1.9021113853480798,0.5194025635521982,WLS-HAR-RV (λ=0.05)
5749,0.00032568820007217836,-0.37758113473498767,0.47684889844324874,-0.5161643093267343,0.131478260155366,WLS-HAR-RV (λ=0.05)
4293,0.001419929889843008,0.1621844018533867,1.3450789013935653,-5.2142006551714495,0.2014352990874666,WLS-HAR-RV (λ=0.05)
14646,0.0005656369905919514,0.261276921336773,-0.3502131115979097,-1.4839121210834116,0.1730486964068746,WLS-HAR-RV (λ=0.05)
5907,0.0007518939668923871,0.37981270491073205,0.19018268556964224,-1.6107593506387738,0.18983592336343147,WLS-HAR-RV (λ=0.05)
17999,0.00028845996854318676,0.049158597003248886,-0.5449122266637432,0.3909431117664275,0.03631121934997439,WLS-HAR-RV (λ=0.05)
26362,0.0004434300558062602,-0.31962707624078246,-0.18331193674478435,0.4581243634615229,0.10371510142042728,WLS-HAR-RV (λ=0.05)
17355,0.0012908733466916046,0.3700965369418483,1.7726741337584917,-6.417332384115769,0.28478326668651943,WLS-HAR-RV (λ=0.05)
12552,0.00045191231872585523,-0.021239606237685824,-0.6615809809825449,0.043180103913134926,0.055551479624884714,WLS-HAR-RV (λ=0.05)
24871,0.0003981592846413909,0.26357844638778494,1.86778809299869,-2.304670671327556,0.4129768918433303,WLS-HAR-RV (λ=0.05)
14004,0.0005760309638478305,-0.0864856923488038,1.347961332442842,-1.7831539450472942,0.053619970926640725,WLS-HAR-RV (λ=0.05)
15934,8.274747608096156e-05,-0.305328452811558,0.33671204942732125,0.41159676815068535,0.09250831419652483,WLS-HAR-RV (λ=0.05)
27919,0.0012844090717771567,-0.01755150136512013,2.4141396872169554,-5.040981865057922,0.3018758163751486,WLS-HAR-RV (λ=0.05)
8032,0.0005112728307220071,-0.5351951892790408,2.652376584496238,-2.84231648009613,0.2645420350580481,WLS-HAR-RV (λ=0.05)
14838,0.000548580787485107,-0.18650563380349525,2.0020811461577326,-2.149470181319372,0.20723299868310496,WLS-HAR-RV (λ=0.05)
11090,0.0011168937464700768,-0.26652262076712907,-0.7229655260705861,-0.9884514780434561,0.2649610565349697,WLS-HAR-RV (λ=0.05)
27784,0.0003975305794225485,0.2883328111252148,-0.9072864875238903,0.18764995746363555,0.17339545939547096,WLS-HAR-RV (λ=0.05)
27527,0.00043120373321022345,-0.38100250329842456,1.4848447739855173,-1.8499116231203316,0.14825752228325217,WLS-HAR-RV (λ=0.05)
29507,0.0003068393634445174,0.1310918638941992,-0.28121503448263635,0.3573521276450098,0.03875063089126929,WLS-HAR-RV (λ=0.05)
5598,0.0002768889902486347,0.030469370530264838,-0.5873710905714994,0.5344748861369323,0.027567037639473546,WLS-HAR-RV (λ=0.05)
24707,0.0007118557896418603,0.24053717701361066,0.8647478787802485,-2.232839892559776,0.1570595036960023,WLS-HAR-RV (λ=0.05)
26720,0.0010305720877350362,-0.004908145253921376,-0.6651747780800977,-0.45050887663212036,0.14655095606767266,WLS-HAR-RV (λ=0.05)
29252,0.0009271984297681125,0.38611681972947826,-0.5665932025964033,-3.3841546748464024,0.1776922272141761,WLS-HAR-RV (λ=0.05)
20568,0.0002383063772781196,0.02136318525914177,0.633677883561238,-0.6085802226361604,0.03080796832292365,WLS-HAR-RV (λ=0.05)
26523,0.00048108174207927787,-0.13270586480811028,1.1253324063446173,-3.0148652531493494,0.2110001069470131,WLS-HAR-RV (λ=0.05)
31242,0.0002772369957241991,-0.4560110929263781,1.1343071748096043,-0.5502941570211315,0.13780600716994662,WLS-HAR-RV (λ=0.05)
5245,0.0005017657482468206,-0.22052220813491227,0.8608004877941272,-1.9125115876565264,0.41231643968755194,WLS-HAR-RV (λ=0.05)
18029,0.000621656325358086,0.5916657920629375,0.4563567818011124,-2.697506954457045,0.2495913648121707,WLS-HAR-RV (λ=0.05)
12135,0.0002646290162986988,-0.6404568742213901,-0.34061929284548725,0.44615978023532343,0.4197309458780927,WLS-HAR-RV (λ=0.05)
19949,0.0004398993634765709,0.2815517010970952,-0.269716555753841,-1.73434050653248,0.16400727945086868,WLS-HAR-RV (λ=0.05)
5297,0.0005103310809104822,0.23001094225496474,1.05893637895444,-1.6317433698411938,0.16813614237499996,WLS-HAR-RV (λ=0.05)
20810,0.0005015963413032869,0.12641261270800483,1.2510430188686628,-2.5882220101154725,0.04966568292455453,WLS-HAR-RV (λ=0.05)
26841,0.00016955521525275632,-0.23332306478208698,-0.9300207373309045,1.1437131876968496,0.10836909366482472,WLS-HAR-RV (λ=0.05)
16823,9.908355257758493e-05,0.10364829716222869,-3.8641154385009653,4.617167262073498,0.18019735173953266,WLS-HAR-RV (λ=0.05)
16235,0.000767703345883798,0.23155194461373407,-0.28189696013736465,-0.3445427327188103,0.0671487181706002,WLS-HAR-RV (λ=0.05)
10628,0.00029371772727002847,-0.34360249253018355,-1.5934833714394367,1.381069595594022,0.2043039562449085,WLS-HAR-RV (λ=0.05)
1377,0.0003412647697068495,0.0389170522006407,-3.3267561371846295,2.736712974329956,0.22466837270577722,WLS-HAR-RV (λ=0.05)
26844,0.0002976638704628456,-0.19101764051249404,0.7859710324021298,-2.1462419147334795,0.13479602550524628,WLS-HAR-RV (λ=0.05)
27795,0.0010313111014654958,0.28963419963223735,0.633905398358589,-3.9065806591483905,0.12061661713505678,WLS-HAR-RV (λ=0.05)
20837,0.00021311702164557495,0.4620598810971424,-1.4868194460739503,1.187450557025796,0.31889991444927557,WLS-HAR-RV (λ=0.05)
12206,0.00037708391850935143,-0.028749163624549302,-3.2242157143759425,2.794873284538957,0.25323528646690086,WLS-HAR-RV (λ=0.05)
11722,0.0007890324332492806,0.4264437594438986,0.6215193617644054,-2.1724654479305716,0.3402521029825919,WLS-HAR-RV (λ=0.05)
11607,0.0012840287617275996,0.22381023683696358,1.3870772527877984,-5.688545391203201,0.22690801507217695,WLS-HAR-RV (λ=0.05)
29441,0.0005428164699871638,0.35788156033418916,-1.5172152063280335,-0.5895125685097653,0.2972254118545017,WLS-HAR-RV (λ=0.05)
7051,0.000561615048756778,0.31244463229139763,-2.0228507002178118,-0.6688728548164731,0.3042063678018908,WLS-HAR-RV (λ=0.05)
1676,0.001033309263237141,-0.19448619687145177,-0.731399945986609,-1.7389973899228672,0.3916856103294356,WLS-HAR-RV (λ=0.05)
1302,0.0007290660004456198,-0.19344334712054795,3.5181998825982586,-4.9449245342679475,0.5236893427387698,WLS-HAR-RV (λ=0.05)
17951,0.00011637357365590651,-0.24904228127266959,0.29879406661524377,0.17091739504626807,0.04877440965560487,WLS-HAR-RV (λ=0.05)
3017,0.0010569086933107882,0.450616658804265,-0.6115424210613842,-1.432315671426904,0.35356209279701034,WLS-HAR-RV (λ=0.05)
3146,8.998283109609492e-05,0.15625014144995833,-0.003642009405241887,-0.02664703788343953,0.020494319680216422,WLS-HAR-RV (λ=0.05)
21139,0.001998162812409378,0.16920804502183645,1.8565636842767652,-4.053597431920009,0.3035850285817272,WLS-HAR-RV (λ=0.05)
15042,0.0005674747824235835,-0.37962829804765347,-1.7962906722130385,0.09349193870088912,0.4702243320968915,WLS-HAR-RV (λ=0.05)
15671,0.002083882248581307,-0.4736528749797748,3.2775831068588155,-6.684976224022254,0.21610058128323562,WLS-HAR-RV (λ=0.05)
30999,0.00046845777646677264,0.23807935130352165,-0.4929417004688552,-0.4979047506717797,0.11259961074770575,WLS-HAR-RV (λ=0.05)
12030,0.0008310522900738739,0.3124543485826701,-1.4133589551604615,-1.5810737029639834,0.4064270049573062,WLS-HAR-RV (λ=0.05)
14895,0.0003088074687219349,-0.2056305732125294,-1.1867257064956576,1.129369898026345,0.16476065256373473,WLS-HAR-RV (λ=0.05)
11750,0.0006142002366182691,0.5799503319084077,-0.4283945149991194,-1.255967156959371,0.2630699434502992,WLS-HAR-RV (λ=0.05)
24253,0.0002488963263772258,0.16534130849656928,1.7823990212236211,-2.758456454052401,0.2359309401276276,WLS-HAR-RV (λ=0.05)
28563,0.00016798336881944956,-0.027761470071739153,-1.8442209059463244,1.8613999084342385,0.12309343036232723,WLS-HAR-RV (λ=0.05)
23246,0.003324701272873522,0.4854022433437166,2.139472965360548,-8.230444346359118,0.5306252870464241,WLS-HAR-RV (λ=0.05)
16031,0.0002865324772980374,0.46517962303445226,0.37953571224673194,-1.366254059414839,0.32519212217323623,WLS-HAR-RV (λ=0.05)
