time_id,AIC,BIC,converged,stationary,alpha,beta
30456,-30.469497989188177,-26.929246983677125,True,True,0.05276029398177527,0.3210936061773757
20382,-32.39647672797344,-28.85622572246239,True,True,1.7556693415379323e-17,0.0
17050,-34.74753667454548,-31.207285669034427,True,True,4.263589588724667e-18,0.7623951404994197
19385,-32.24743578909782,-28.70718478358677,True,True,0.16572250734471372,0.0
25627,-31.44639893266438,-27.906147927153327,True,True,0.26032134224912623,0.36634780996755495
15730,-30.817863286597067,-27.277612281086014,True,False,0.0,1.0
9021,-37.043022408023525,-33.50277140251247,True,True,0.0,0.6898052337009155
24717,-32.51585030426195,-28.9755992987509,True,True,1.2832843757548019e-15,0.46131687679497724
10890,-32.03273516959849,-28.492484164087436,True,True,5.685100871023558e-16,0.5958881509016929
3465,-29.80561674741677,-26.26536574190572,True,True,1.2902834446393767e-11,0.9706329411758187
13276,-23.39384328949948,-19.853592283988426,True,True,2.4250729637057834e-16,0.0
14311,-34.785959837104464,-31.24570883159341,True,False,1.3267322334776706e-15,0.9999999999999991
27467,-22.268666687256456,-18.728415681745403,True,True,9.275217179604963e-15,0.0
2568,-28.130783135120957,-24.590532129609905,True,True,0.0,0.6532919614889953
18916,-15.4918370179448,-11.951586012433749,True,False,0.0,1.0
31554,-33.86838121390269,-30.328130208391634,True,True,1.2615988388855926e-14,0.9036906671243072
27403,-28.161545729354522,-24.62129472384347,True,True,0.7253004664883869,0.0
24014,-29.920302169929165,-26.380051164418113,True,True,0.0,0.9825550565953183
15938,-22.402037879724006,-18.861786874212953,True,False,1.2851796789487973e-15,0.9999999999999586
18956,-11.13120105924962,-7.590950053738569,True,True,0.0,1.4051950219192795e-16
10734,-10.632130599351598,-7.091879593840547,True,True,0.0,0.9602342057499377
31144,-25.566026522290272,-22.02577551677922,True,True,1.1510448514172653e-15,0.5373674280534171
24437,-18.9457335195286,-15.405482514017548,True,False,7.796390396258586e-16,0.999999999999991
7367,-32.01323284672138,-28.472981841210327,True,True,0.0,0.9683762673209273
6693,-20.89174985794252,-17.35149885243147,True,True,0.3509320676133272,1.0401934088483526e-12
29656,-36.02695377710068,-32.48670277158963,True,False,0.0,1.0
17888,-20.511152162960705,-16.970901157449653,True,True,6.568615429142264e-16,0.8142747691922263
5032,-30.935913306309203,-27.39566230079815,True,True,0.27018784670405244,2.4250777157017614e-16
31970,-31.347663946999354,-27.807412941488302,True,False,1.0,0.0
13762,-33.24200648194432,-29.70175547643327,True,True,1.9171040981210594e-10,0.9179111134455993
4867,-25.867810523449677,-22.327559517938624,True,False,0.9015467894967044,0.09845321050339048
23156,-31.280101099609006,-27.739850094097953,True,False,0.0,1.0
29228,-30.849693046954542,-27.30944204144349,True,True,0.0,0.9546800016658069
1920,-26.581923986325727,-23.041672980814674,True,True,0.0,0.9365758073746665
18534,-23.51678101381757,-19.97653000830652,True,True,0.0,0.9527271215320391
6999,-14.36394474879108,-10.82369374328003,True,True,1.9444540541421985e-15,0.8238181451161216
26522,-19.117512012858477,-15.577261007347426,True,False,1.0437553870864574e-14,0.9999999999999777
17193,-23.097883939511874,-19.55763293400082,True,False,1.481903535208817e-13,0.9999999999980955
21834,-25.874992370328656,-22.334741364817603,True,False,1.0,0.0
14572,-37.95985060392726,-34.419599598416205,True,True,0.3835562657107571,0.0
2929,-29.385678438792645,-25.845427433281593,True,True,0.0,0.3698370387987976
7677,-23.574506625648254,-20.034255620137202,True,True,0.2242916943745261,0.0
14326,-31.89065019447152,-28.350399188960466,True,False,1.0,0.0
5164,-17.023149578751646,-13.482898573240595,True,False,2.314845465967861e-14,0.9999999999993446
1292,-11.360337972783704,-7.820086967272653,True,True,0.0,0.9472436357466016
12546,-19.552313828789433,-16.012062823278384,True,False,1.7531872767981665e-15,0.9999999999999805
17010,-45.239694783764975,-41.69944377825392,True,True,0.5869322840779639,2.4544961743782824e-10
10946,-30.1075522306011,-26.56730122509005,True,False,3.2528178248739677e-16,1.0
7212,-45.05061564924733,-41.510364643736274,True,False,3.2862601528904644e-20,1.0
20935,-10.36681051064274,-6.826559505131689,True,True,0.0,0.9834042491400886
25334,-27.33233030692498,-23.792079301413928,True,True,0.0,0.9537742549206896
5488,-30.638268825974286,-27.098017820463234,True,True,3.4106637835159923e-10,0.7622050343597933
29823,-26.035218287406565,-22.494967281895512,True,True,0.0,0.940376317275119
12352,-14.31709885252717,-10.77684784701612,True,True,5.317727865147548e-12,0.9560614763320696
15486,-37.53427050079442,-33.99401949528337,True,True,4.2364411420765334e-14,0.17768827602042792
23202,-22.84005859224814,-19.29980758673709,True,False,0.0,1.0
28342,-38.05774396509966,-34.51749295958861,True,True,1.3035576137999648e-11,0.825515479382867
20430,-41.191890054253854,-37.6516390487428,True,False,1.012506890942828e-08,0.9999901159766432
16304,-20.736146107894438,-17.19589510238339,True,True,3.735691876172402e-13,0.8416041210374593
25019,-53.731004295746914,-50.19075329023586,True,True,0.4806888964603047,1.2342195353175957e-07
4071,-36.756688782175964,-33.21643777666491,True,False,1.150278259513835e-14,1.0
24127,-24.582841408809934,-21.04259040329888,True,True,1.3486464558328495e-15,0.22641747563155815
10987,-21.358554561700018,-17.818303556188965,True,True,0.4874863158662546,1.6477195971104687e-10
26806,-30.931568648880422,-27.39131764336937,True,False,1.2541671409985703e-15,0.9999999999999978
20559,-27.473213907002723,-23.93296290149167,True,True,2.8901362233550108e-15,0.917434892023104
23356,-17.552415125331986,-14.012164119820936,True,False,0.0,1.0
23462,-35.55500078742052,-32.014749781909465,True,True,5.9004199945382375e-12,0.8614252834534897
22828,-42.84550075601007,-39.305249750499016,True,False,0.0,1.0
17428,-19.27820147515185,-15.737950469640799,True,True,3.357077652934302e-16,0.6527590174045792
5512,-34.01104416487814,-30.47079315936709,True,True,0.0,0.7754712184552865
22824,-4.6280389014244,-1.0877878959133493,True,False,0.0,1.0
23337,-27.848374231981353,-24.3081232264703,True,False,0.9999999982720259,6.15328522048206e-10
11541,-29.91725445097905,-26.377003445468,True,False,0.9828242361922218,0.017175763952228324
15845,-16.501169911909393,-12.960918906398343,True,True,0.0,0.8421785281012713
17429,-30.079631774497713,-26.53938076898666,True,False,1.4326029197625643e-13,0.9999999999562765
9198,-23.893450332802594,-20.35319932729154,True,False,0.0,1.0
27313,-29.91469320432116,-26.374442198810108,True,True,2.4665605738366983e-09,0.9797650332021614
30134,-30.11575116576695,-26.5755001602559,True,False,1.0227590182722665e-15,0.9999999999999986
26190,-22.984520709645594,-19.44426970413454,True,True,2.8363018024283853e-14,0.6288448511932838
30866,-27.8607446763383,-24.320493670827247,True,True,0.0,0.7824743999916355
24913,-34.34552754562255,-30.8052765401115,True,True,3.83726812022345e-15,0.29989732230533644
27270,-29.306156416026298,-25.765905410515245,True,False,4.468214108297547e-14,0.9999999999990109
6217,-20.348031166424548,-16.807780160913495,True,True,0.0,0.9843449010206341
4377,-33.61433081456224,-30.074079809051184,True,True,0.4767167645670452,6.280271940526804e-09
4103,-42.04631564991942,-38.50606464440837,True,True,5.437603790807523e-16,0.7271435131523606
29941,-25.44975938137663,-21.909508375865578,True,True,8.198301096058471e-14,0.9945117293343408
2139,-36.59359360922209,-33.05334260371104,True,True,0.0,0.949349905679302
23780,-21.27462671859042,-17.734375713079366,True,False,1.0,0.0
4193,-32.88387231254177,-29.343621307030716,True,True,0.0,3.729095030342194e-13
15163,-14.577411965996358,-11.037160960485307,True,True,0.0,0.9000141067799965
