stock_id,regime,regime_model,actual_rec_model,garch_QLIKE,rec_model_QLIKE,lgbm_QLIKE
75,illiquid,HAR-RV,LightGBM,-5.379126235244968,-5.317195033845271,-5.732067331001482
76,mixed,LightGBM,GARCH,-6.16820392902534,-6.155793484067054,-6.155793484067054
82,mixed,LightGBM,LightGBM,-6.466757250086552,-6.510406125895093,-6.510406125895093
88,illiquid,HAR-RV,LightGBM,-5.704570586780822,-5.618536578145849,-6.180890707021795
89,mixed,LightGBM,LightGBM,-6.442787300588348,-6.448203665055534,-6.448203665055534
90,illiquid,HAR-RV,LightGBM,-5.611094394206153,-5.5661149617847165,-6.055288824027277
93,liquid,EGARCH-X,GARCH,-7.058861812514663,-7.043883694799007,-6.825953998399936
96,mixed,LightGBM,LightGBM,-6.079017894688489,-6.098875516120174,-6.098875516120174
97,illiquid,HAR-RV,LightGBM,-5.391834358201501,-5.340734651083608,-5.784715166051425
98,illiquid,HAR-RV,LightGBM,-5.804517767097607,-5.718057928966972,-6.250574872135294
99,liquid,EGARCH-X,GARCH,-7.094041160281911,-7.062171612839862,-6.8223699067152825
101,mixed,LightGBM,LightGBM,-6.182096486817517,-6.192833509505084,-6.192833509505084
103,illiquid,HAR-RV,LightGBM,-5.6645910924462575,-5.582004987399921,-6.09408526776018
108,mixed,LightGBM,LightGBM,-6.490249862451336,-6.502906345600799,-6.502906345600799
109,mixed,LightGBM,LightGBM,-6.197797410420792,-6.20737820458007,-6.20737820458007
111,liquid,EGARCH-X,GARCH,-6.751406513345854,-6.728787553145034,-6.695989095866648
112,illiquid,HAR-RV,LightGBM,-5.585954889955271,-5.51568042899825,-6.014775370365369
113,mixed,LightGBM,GARCH,-6.16494512520392,-6.16057870562816,-6.16057870562816
116,illiquid,HAR-RV,LightGBM,-5.688917119838281,-5.638254067694113,-6.108078743421748
119,liquid,EGARCH-X,EGARCH-X,-6.817210503014164,-6.818638054966939,-6.499593101021038
120,liquid,EGARCH-X,GARCH,-6.838660616787763,-6.821775331417634,-6.587166413622436
122,mixed,LightGBM,GARCH,-6.309250175861488,-6.309211493880119,-6.309211493880119
123,liquid,EGARCH-X,GARCH,-7.040263160783249,-7.01962567962976,-6.760612877866615
124,liquid,EGARCH-X,GARCH,-6.471368555542221,-6.471038286629489,-6.274269590188966
125,liquid,EGARCH-X,GARCH,-7.343083756956618,-7.296931302004895,-7.02346331392188
126,illiquid,HAR-RV,LightGBM,-5.56659537896925,-5.502950420617426,-5.997656513645068
