stock_id,regime,model,n_time_ids_total,n_time_ids_kept,n_forecasts,n_missed,miss_rate,median_QLIKE,median_MSE,blowup_pct,pct_leverage,pct_fat_tails
97,illiquid,"GJR-GARCH(1,1,1)-t",3763,1881,1375,506,0.269,-5.391834358201501,6.216189979334491e-07,0.01,0.36,0.26
98,illiquid,"GJR-GARCH(1,1,1)-t",3597,1798,1353,445,0.2475,-5.8045177670976065,3.8132454188873014e-07,0.0102,0.4,0.38
99,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1381,534,0.2789,-7.094041160281911,1.4829426398841034e-08,0.0,0.48,0.18
101,mixed,"GJR-GARCH(1,1,1)-t",3824,3824,2732,1092,0.2856,-6.1820964868175174,6.404030582823335e-08,0.0,0.32,0.2
103,illiquid,"GJR-GARCH(1,1,1)-t",3596,1798,1301,497,0.2764,-5.6645910924462575,4.635477874118555e-07,0.0102,0.4,0.24
108,mixed,"GJR-GARCH(1,1,1)-t",3830,3830,2800,1030,0.2689,-6.490249862451336,3.348684181573974e-08,0.0,0.52,0.3
109,mixed,"GJR-GARCH(1,1,1)-t",3822,3822,2709,1113,0.2912,-6.197797410420792,7.073984950872576e-08,0.0,0.38,0.08
111,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1438,477,0.2491,-6.751406513345854,1.555710452037352e-08,0.0,0.38,0.2
112,illiquid,"GJR-GARCH(1,1,1)-t",3509,1754,1301,453,0.2583,-5.585954889955271,5.700236541077108e-07,0.0102,0.46,0.22
113,mixed,"GJR-GARCH(1,1,1)-t",3827,3827,2724,1103,0.2882,-6.16494512520392,7.196856870620343e-08,0.0,0.4,0.14
116,illiquid,"GJR-GARCH(1,1,1)-t",3733,1866,1363,503,0.2696,-5.688917119838281,3.4197389306977145e-07,0.0101,0.4,0.18
119,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1369,546,0.2851,-6.817210503014164,1.3134039411462835e-08,0.0,0.54,0.08
120,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1406,509,0.2658,-6.838660616787763,1.591378294737039e-08,0.0,0.46,0.24
122,mixed,"GJR-GARCH(1,1,1)-t",3815,3815,2734,1081,0.2834,-6.309250175861488,5.934864891774662e-08,0.0,0.46,0.18
123,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1402,513,0.2679,-7.040263160783249,9.874620239517684e-09,0.0,0.48,0.14
124,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1393,522,0.2726,-6.471368555542221,2.024050654328978e-08,0.0,0.54,0.24
125,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1490,425,0.2219,-7.343083756956618,1.1605075057812748e-08,0.0,0.58,0.16
126,illiquid,"GJR-GARCH(1,1,1)-t",3704,1852,1343,509,0.2748,-5.56659537896925,3.9841108529019036e-07,0.0101,0.36,0.26
