stock_id,liquidity_regime,n_time_ids,ols_median_QLIKE,ols_median_MSE,ols_mean_beta_d,ols_mean_beta_w,ols_mean_beta_m,ols_mean_r2,wls_median_QLIKE,wls_median_MSE,wls_mean_beta_d,wls_mean_beta_w,wls_mean_beta_m,wls_mean_r2,winner,median_QLIKE,median_MSE
19,mixed,3768,-6.575050409394123,1.9450273099321644e-08,0.1098852289301804,0.1535162229058222,-1.244459440560326,0.2339461350131563,-6.573095754761551,1.9174838688776143e-08,0.0925863023176124,0.0710979640967648,-1.1759254653684392,0.232991307063743,OLS,-6.575050409394123,1.9174838688776143e-08
26,mixed,3797,-6.4827900721783935,1.3916844791315264e-08,0.1136353666702851,0.2196384023556674,-1.2935788423619825,0.2371197610309366,-6.482162028154755,1.3664689861406961e-08,0.0954664863949534,0.1399167303430252,-1.216841403691931,0.2359940551570981,OLS,-6.4827900721783935,1.3664689861406961e-08
27,illiquid,1778,-5.289419706555041,3.442989238274909e-07,0.145206114759192,0.2122120763101316,-1.3456907924214832,0.2376885128818743,-5.282806243828453,3.205875552514277e-07,0.128743883722301,0.1353104627459893,-1.2863632115248878,0.2360498413175869,OLS,-5.289419706555041,3.205875552514277e-07
29,liquid,1915,-7.322918382760887,1.1839499195169082e-09,0.128173594530933,0.2520563001814115,-1.2531605104308554,0.2483549901748357,-7.322625734941597,1.1040709662587288e-09,0.1117470945527623,0.1649507458191033,-1.1618405894046642,0.2469963069819447,OLS,-7.322918382760887,1.1040709662587288e-09
31,illiquid,1914,-6.143193965549889,7.739285560472554e-08,0.0906612413405341,0.1492579298284592,-1.1004634425884134,0.2356406006653267,-6.14166143942073,7.565803710477398e-08,0.0765510251421487,0.0742087393511642,-1.0685696699319176,0.2360707184893435,OLS,-6.143193965549889,7.565803710477398e-08
32,mixed,3830,-6.570987944074383,1.0798947560277298e-08,0.1002874885874643,0.2315779870823541,-1.303313212431353,0.2334741102965512,-6.569197500520298,1.1082124471073396e-08,0.083226759506863,0.1466638884881594,-1.2323987361592812,0.2326232950328376,OLS,-6.570987944074383,1.0798947560277298e-08
33,illiquid,1639,-5.481995001231527,2.6855684652311295e-07,0.1367531094363953,0.2082916749644784,-1.258410398549478,0.2395598609229516,-5.469197056542602,2.598698046820818e-07,0.1186446961094047,0.1244339368200626,-1.1841295936780996,0.2385177096638221,OLS,-5.481995001231527,2.598698046820818e-07
37,illiquid,1602,-5.2620003261578905,4.001184042000809e-07,0.17272674449142,0.2635085189679236,-1.3535237141161924,0.2416844660959745,-5.263475569930822,3.993051922923596e-07,0.1551536647910122,0.186814077506328,-1.2808345709229982,0.2405162968729405,WLS,-5.263475569930822,3.993051922923596e-07
39,liquid,1914,-6.992018987239636,5.3172390967539645e-09,0.1412183383506897,0.2501084113376035,-1.3555230837428098,0.2349119017912579,-6.992754804506587,5.260049386774693e-09,0.1222691692922497,0.1701795099577929,-1.2847842466835084,0.2348326635574457,WLS,-6.992754804506587,5.260049386774693e-09
40,illiquid,1867,-5.51010470943867,2.0420157180314237e-07,0.136902430448064,0.2351110120803537,-1.3211106618313446,0.2357132647735937,-5.507024572981681,2.001697786965006e-07,0.1166589889357598,0.152559123598459,-1.23954345198444,0.2345357621396789,OLS,-5.51010470943867,2.001697786965006e-07
41,liquid,1915,-7.038033394632581,6.7433272518219824e-09,0.0883774881331261,0.2196180389369122,-1.2830470684417543,0.2294681560194661,-7.0381518342233615,6.639237107925015e-09,0.0722439085843925,0.1332158438455013,-1.2118457148299695,0.2295772733639187,WLS,-7.0381518342233615,6.639237107925015e-09
43,liquid,1915,-7.673011787810962,7.73099067120126e-10,0.1638608275366858,0.2791368585913687,-1.2899619827422075,0.2507430971788946,-7.673568368183257,7.934445544327367e-10,0.1467481457592273,0.1874535330863252,-1.1959877586335323,0.2504349788065536,WLS,-7.673568368183257,7.73099067120126e-10
44,liquid,1915,-6.660501660520426,8.582845548520986e-09,0.1048767274535052,0.2699450809387003,-1.3952610028151218,0.233819604098234,-6.662963769881418,8.723480613583251e-09,0.0880932095740245,0.1838671886335111,-1.324155312295903,0.2328143926821018,WLS,-6.662963769881418,8.582845548520986e-09
46,liquid,1915,-7.247534289098022,3.916763015658338e-09,0.0950043268432839,0.1362601832335937,-1.2205972352632466,0.2274299408323539,-7.242044718156465,3.954567361437796e-09,0.0796441641696544,0.0546416983701027,-1.164685504696569,0.2285848464414153,OLS,-7.247534289098022,3.916763015658338e-09
