order,p,o,q,mean_BIC,n_converged
"EGARCHX(1,1,2)",1,1,2,21973.389,169
"EGARCHX(2,1,1)",2,1,1,37013.78,170
"EGARCHX(2,1,2)",2,1,2,48229.8,168
"EGARCHX(1,1,1)",1,1,1,61005.885,170
