time_id,AIC,BIC,converged,stationary,alpha,beta,model
23202,-19.633655316019087,-14.677303908303617,True,False,0.9999999999999996,0.4794700373809521,"GJR-GARCH(1,1,1)-t"
17983,-6.890218465018098,-1.9338670573026278,True,False,0.9999999999999999,2.4256418666881612e-17,"GJR-GARCH(1,1,1)-t"
16877,-17.56087955784184,-12.60452815012637,True,True,4.879034639415273e-16,6.414056507814269e-12,"GJR-GARCH(1,1,1)-t"
27964,-18.43038184763408,-13.47403043991861,True,True,0.0,0.1635966345830735,"GJR-GARCH(1,1,1)-t"
12611,-17.21273464118537,-12.2563832334699,True,True,8.7168945928889e-15,0.989921491964574,"GJR-GARCH(1,1,1)-t"
317,-4.583433402653139,0.3729180050623313,True,True,4.883680921545842e-15,0.0,"GJR-GARCH(1,1,1)-t"
319,-11.591439996064587,-6.635088588349117,True,True,1.0019085877185952e-19,0.04863416753005244,"GJR-GARCH(1,1,1)-t"
4797,-27.989263114772086,-23.032911707056616,True,True,0.0,0.6034278304535482,"GJR-GARCH(1,1,1)-t"
21834,-21.800506018304958,-16.844154610589488,True,True,4.962565891641945e-14,0.8535762525954778,"GJR-GARCH(1,1,1)-t"
7883,-18.313277592439576,-13.356926184724106,True,True,2.96524428566893e-14,0.510125980882962,"GJR-GARCH(1,1,1)-t"
19528,-39.365748478031776,-34.4093970703163,True,True,3.0055942921215595e-10,0.8974045806854876,"GJR-GARCH(1,1,1)-t"
273,-29.21633383514031,-24.25998242742484,True,True,0.0,0.0,"GJR-GARCH(1,1,1)-t"
5020,-29.827639354817265,-24.871287947101795,True,True,4.047389312897401e-16,0.5202511889576874,"GJR-GARCH(1,1,1)-t"
908,-12.905788123038892,-7.949436715323422,True,True,7.68725319415076e-12,0.19524865297701605,"GJR-GARCH(1,1,1)-t"
6445,-0.5228475757540636,4.433503831961406,True,True,7.524748622847237e-22,0.9492987315395875,"GJR-GARCH(1,1,1)-t"
8587,-8.367743872872452,-3.4113924651569825,True,False,7.401373613176404e-15,0.9999999999999923,"GJR-GARCH(1,1,1)-t"
11559,-20.817926295883588,-15.861574888168118,True,True,2.6399147857631918e-08,0.9165751689868551,"GJR-GARCH(1,1,1)-t"
24879,-10.511973204925223,-5.555621797209753,True,True,0.1460285118203713,7.398147724419252e-15,"GJR-GARCH(1,1,1)-t"
21148,-19.78053340762459,-14.824181999909118,True,True,0.0,0.9880805127826942,"GJR-GARCH(1,1,1)-t"
26522,-17.402866586205377,-12.446515178489907,True,True,0.6188924444289514,0.0,"GJR-GARCH(1,1,1)-t"
4851,12.817400981877226,17.773752389592694,True,True,0.0,0.0,"GJR-GARCH(1,1,1)-t"
17428,-6.555979446205853,-1.5996280384903834,True,True,0.0,0.4476747258332885,"GJR-GARCH(1,1,1)-t"
29823,-10.842906431793566,-5.8865550240780955,True,True,0.17649578742918123,1.913902737653948e-14,"GJR-GARCH(1,1,1)-t"
30040,-22.857663028014727,-17.901311620299257,True,True,2.679611580682243e-12,0.9048890004357903,"GJR-GARCH(1,1,1)-t"
18495,-22.425780502010966,-17.469429094295496,True,False,0.25311327842951775,0.8266349332390888,"GJR-GARCH(1,1,1)-t"
30134,-14.275361465298886,-9.319010057583416,True,True,0.0,0.7608996655730359,"GJR-GARCH(1,1,1)-t"
26973,-19.168698955638213,-14.212347547922743,True,True,7.877811840184899e-11,0.9741335586074286,"GJR-GARCH(1,1,1)-t"
31144,-15.945507543458945,-10.989156135743475,True,True,0.15885385720345455,2.7428592644517065e-11,"GJR-GARCH(1,1,1)-t"
18507,-20.939932042313274,-15.983580634597804,True,True,1.3799353413746215e-17,0.7147645410624562,"GJR-GARCH(1,1,1)-t"
11325,-7.816396962794293,-2.8600455550788233,True,True,1.464559635462194e-15,0.42582739003849857,"GJR-GARCH(1,1,1)-t"
947,-16.522676292778016,-11.566324885062546,True,False,0.0,1.0,"GJR-GARCH(1,1,1)-t"
16753,-20.943843231944008,-15.987491824228538,True,False,0.08359387469067556,0.9582030626546229,"GJR-GARCH(1,1,1)-t"
23536,-24.51348692740317,-19.5571355196877,True,True,4.972055839036161e-21,8.15177919472313e-22,"GJR-GARCH(1,1,1)-t"
25761,-9.735507553888198,-4.779156146172728,True,True,2.5889448909702245e-06,0.9733186323724897,"GJR-GARCH(1,1,1)-t"
10689,-15.292447405967,-10.33609599825153,True,True,0.5382784352509976,1.4033955940610504e-24,"GJR-GARCH(1,1,1)-t"
19499,-25.81803663347796,-20.86168522576249,True,True,7.599215194916724e-15,0.8452720741085209,"GJR-GARCH(1,1,1)-t"
28992,-20.272370076472143,-15.316018668756673,True,False,0.0,1.0,"GJR-GARCH(1,1,1)-t"
20268,-16.404118902070582,-11.447767494355112,True,True,0.026818411413425405,0.9576116162180119,"GJR-GARCH(1,1,1)-t"
17193,-12.20846706043977,-7.252115652724299,True,True,0.0,0.9416502364500524,"GJR-GARCH(1,1,1)-t"
9186,-3.0866525427502367,1.8696988649652333,True,True,2.5764865990027807e-16,0.7434818100757139,"GJR-GARCH(1,1,1)-t"
13960,-16.175556274227482,-11.219204866512012,True,True,0.09494354394714181,0.5979437680297748,"GJR-GARCH(1,1,1)-t"
7518,-4.949701842873292,0.006649564842177824,True,True,7.897099980019098e-15,0.35084861997166866,"GJR-GARCH(1,1,1)-t"
11541,-9.567398266385098,-4.611046858669628,True,False,0.40011233031186916,0.7999438348440657,"GJR-GARCH(1,1,1)-t"
21239,-23.108733279335055,-18.152381871619585,True,False,0.0,1.0,"GJR-GARCH(1,1,1)-t"
5101,-20.771196140378898,-15.814844732663428,True,False,0.9999999999999784,0.007688373318452412,"GJR-GARCH(1,1,1)-t"
9988,-4.5713952279489085,0.3849561797665615,True,True,0.21521971415938257,3.2657264387867162e-12,"GJR-GARCH(1,1,1)-t"
15907,-9.522217413464514,-4.565866005749044,True,True,4.0528617196534887e-11,0.9855660983593839,"GJR-GARCH(1,1,1)-t"
1292,-10.615127366067508,-5.658775958352038,True,True,0.0,1.585908933917652e-13,"GJR-GARCH(1,1,1)-t"
14809,-26.88017455564686,-21.92382314793139,True,False,5.363733360025759e-18,1.0,"GJR-GARCH(1,1,1)-t"
28959,-22.972435239799786,-18.016083832084316,True,True,0.5556774659947779,8.276442272509199e-16,"GJR-GARCH(1,1,1)-t"
28401,-8.559387552176258,-3.6030361444607877,True,True,6.409544764831267e-15,1.441549964931217e-13,"GJR-GARCH(1,1,1)-t"
5975,-10.08218412929818,-5.125832721582711,True,False,0.6147069783014272,0.6926465108499947,"GJR-GARCH(1,1,1)-t"
22042,-16.893741065983242,-11.937389658267772,True,False,3.5526469979039923e-10,1.0,"GJR-GARCH(1,1,1)-t"
29583,1.4876836722855131,6.444035080000983,True,True,0.0,0.9372177246435359,"GJR-GARCH(1,1,1)-t"
26613,-15.134121575442741,-10.177770167727271,True,True,0.004271955417274795,2.3267774938031177e-15,"GJR-GARCH(1,1,1)-t"
18908,-24.60033290714876,-19.64398149943329,True,True,1.408799655872103e-11,0.5517921454146814,"GJR-GARCH(1,1,1)-t"
20326,6.112405529758796,11.068756937474266,True,True,0.0,0.9051415763877873,"GJR-GARCH(1,1,1)-t"
20064,-24.184824274407333,-19.228472866691863,True,True,8.810019387751592e-16,3.313098437092432e-08,"GJR-GARCH(1,1,1)-t"
12542,-13.3403809519954,-8.38402954427993,True,True,0.0,0.447097306567668,"GJR-GARCH(1,1,1)-t"
11962,-10.02122134893083,-5.06486994121536,True,False,0.9999509502451692,7.202531842982993e-06,"GJR-GARCH(1,1,1)-t"
9190,-5.478350436889311,-0.5219990291738412,True,True,1.2583057623145905e-11,0.9385126758364044,"GJR-GARCH(1,1,1)-t"
29649,-11.888166742495166,-6.931815334779696,True,True,2.9522934548212546e-13,0.959216935702044,"GJR-GARCH(1,1,1)-t"
24014,-7.625832907576864,-2.6694814998613943,True,True,2.9693460015122336e-21,9.500347754842267e-21,"GJR-GARCH(1,1,1)-t"
