time_id,AIC,BIC,converged,stationary,alpha,beta
2946,75.8998566793299,79.44010768484095,True,True,0.0,0.9566400033341089
19725,71.22113203571075,74.7613830412218,True,False,1.0,1.0014835710813626e-31
16839,67.57806262280334,71.11831362831438,True,True,0.5684150115743187,0.16142505366666546
30128,92.90524594296798,96.44549694847903,True,True,0.0,0.8912393612211577
2956,83.60220780494588,87.14245881045693,True,True,4.637327056786521e-16,0.0
13851,74.41787914413668,77.95813014964773,True,True,0.3810075050218008,0.0
7564,78.04049293476461,81.58074394027567,True,True,0.0,0.9063259618612979
20271,92.82486448697658,96.36511549248763,True,True,0.0,0.4998849555996165
18231,58.66299074030866,62.20324174581971,True,True,2.2138847613006273e-16,0.9750762433666847
11686,57.02900282923564,60.56925383474669,True,True,0.0,0.985918520474635
13735,75.00755340249171,78.54780440800276,True,False,0.0,1.0
6144,61.69690230069078,65.23715330620183,True,True,0.0,0.7628103486721562
1816,68.41031569420441,71.95056669971547,True,True,0.3129466603181388,2.3802838068127654e-16
11700,76.25006363361352,79.79031463912457,True,True,0.0,0.9473358351804521
29106,49.82150252751574,53.36175353302679,True,True,0.0,0.9548214641215202
6398,68.99804298399431,72.53829398950535,True,False,0.0,0.9999999999999486
9936,65.22248716243946,68.76273816795052,True,False,9.529733611301447e-14,0.9999999999990022
3626,58.224760839772145,61.7650118452832,True,False,0.0,1.0
19639,84.38460719182874,87.92485819733979,True,False,5.429334699627792e-16,0.9999999999999997
31170,70.51925178849015,74.05950279400119,True,False,6.087421636546763e-14,0.9999999999995901
12981,72.32752023983929,75.86777124535034,True,True,9.313715503733054e-11,0.9884230020042754
12998,71.07562169910035,74.6158727046114,True,False,0.0,1.0
8721,75.52543849259557,79.06568949810662,True,False,1.0,5.1174342541315803e-17
18502,76.93733104713566,80.47758205264671,True,False,0.0,1.0
24143,96.51599780913678,100.05624881464783,True,True,0.0,0.49417757292506603
25148,62.6939954218639,66.23424642737496,True,True,1.7448848262135068e-13,0.9786162267175547
5517,58.41226562581886,61.952516631329914,True,True,6.3636444643063524e-15,0.9854578652515003
11043,46.23259838021595,49.772849385727,True,True,8.046868746160027e-15,0.960043889550703
9770,57.16288372916927,60.703134734680326,True,True,8.415323007057875e-13,0.921864263163381
31046,65.65504388976733,69.19529489527838,True,False,0.9999999999871972,2.6402574031991748e-12
254,73.02634177085048,76.56659277636153,True,True,0.0,0.9024973940322794
26069,66.89837314194617,70.4386241474572,True,True,0.0,0.6169333401316942
2718,65.21772073870649,68.75797174421754,True,True,4.798795469445632e-14,0.7157107173732817
24349,88.40787661674656,91.94812762225762,True,True,0.0,0.8673355191825987
4997,70.3971945113204,73.93744551683145,True,True,4.9743713147180245e-11,0.9553443472243587
29240,58.49658844870814,62.03683945421919,True,False,1.0,0.0
8913,68.51015249967774,72.0504035051888,True,True,1.607552077102181e-13,0.9194958483518713
10669,68.64068237916283,72.18093338467388,True,True,6.399324831309957e-15,0.704281077547349
326,70.01466723913151,73.55491824464256,True,True,0.0,0.9547874666925591
10590,56.16602317592459,59.706274181435646,True,False,0.0,1.0
11995,68.89528223000346,72.43553323551451,True,True,0.0,0.9622420669354134
23486,67.58405757311965,71.1243085786307,True,True,0.0,0.827058178771257
22973,68.82258489907359,72.36283590458464,True,True,0.0,0.9844015788547964
15584,63.5246899716244,67.06494097713545,True,True,3.350752766402282e-15,0.6388348212905455
32461,60.97239183024303,64.51264283575408,True,False,2.841661720487377e-13,0.9999999999971825
15883,67.24193674844852,70.78218775395958,True,True,0.0,0.8302290890750669
30720,57.936513179000784,61.476764184511836,True,True,0.0,0.9669121263250656
14582,61.26708908765952,64.80734009317057,True,True,5.698111594819771e-15,0.8993922948835337
29380,51.94960276281739,55.489853768328445,True,True,0.0,0.7885633811924958
26460,56.9390927588624,60.47934376437345,True,True,0.0,0.979525430051636
3138,74.46727117990062,78.00752218541167,True,True,1.605767097317982e-11,0.9571417860523856
29431,56.55670172733267,60.096952732843725,True,False,0.9999999999999479,1.902036727168191e-14
18656,65.43059989267928,68.97085089819033,True,True,4.3343868480991607e-16,0.6958221824036889
26292,61.84939964766774,65.38965065317879,True,True,7.200330380293471e-17,0.5705429192637398
27278,68.53934908600363,72.07960009151466,True,True,0.0,0.9730577189397079
5787,67.6258480633139,71.16609906882495,True,False,8.317806425271383e-14,0.9999999999983916
427,53.25812562767579,56.79837663318684,True,True,0.0,0.8408717230524662
21805,66.96048279802135,70.5007338035324,True,True,2.509656827546297e-13,0.9539993151705537
6029,50.21990532035832,53.760156325869374,True,True,0.0,0.6624681493382006
